0	4.4	-22.864	0	-1.7947	0	19.6258	0	9	19.6258	2.158	0	0	0	20952848	
1	-22	0	0	0.84038	0	15.526	1	35	15.526	1.079	-1.8689	0	0	0	
2	24.2	3.8106	0	-0.88803	0	22.369	0	0	22.369	1.079	1.8689	0	0	0	
3	24.2	-3.8106	0	0.10009	0	20.2458	0	8	20.2458	-1.079	-1.8689	0	0	0	
4	-4.4	22.864	0	-0.54453	0	21.2561	1	4	21.2561	-1.079	1.8689	0	0	0	
5	-4.4	-22.864	0	0.30352	0	21.2561	1	3	21.2561	-2.158	0	0	0	0	
6	15.4	19.0526	0	-0.60033	0	20.2458	0	12	20.2458	3.237	-1.8689	0	0	0	
7	15.4	-19.0526	0	0.48997	0	20.2458	0	11	20.2458	3.237	1.8689	0	0	0	
8	-19.8	11.4316	0	0.73936	0	19.1253	1	14	19.1253	4.316	0	0	0	0	
9	-19.8	-11.4316	0	1.7119	0	19.1253	1	13	19.1253	0	-3.7378	0	0	0	
10	8.8	22.864	0	-0.19412	0	18.9059	0	22	18.9059	0	3.7378	0	0	0	
11	8.8	-22.864	0	-2.1384	0	18.9059	0	23	18.9059	2.158	-3.7378	0	0	0	
12	-17.6	15.242	0	-0.83959	0	17.573	1	28	17.573	2.158	3.7378	0	0	0	
13	-17.6	-15.242	0	1.3546	0	17.573	1	27	17.573	-3.237	-1.8689	0	0	0	
14	-22	7.621	0	-1.0722	0	17.5731	1	32	17.5731	-3.237	1.8689	0	0	0	
15	-22	-7.621	0	0.96095	0	17.5731	1	31	17.5731	-2.158	-3.7378	0	0	0	
16	-8.8	22.864	0	0.12405	0	20.2467	1	16	20.2467	-2.158	3.7378	0	0	0	
17	-8.8	-22.864	0	1.4367	0	20.2467	1	15	20.2467	-4.316	0	0	0	0	
18	-15.4	19.0526	0	-1.9609	0	18.131	1	33	18.131	5.395	-1.8689	0	0	0	
19	-15.4	-19.0526	0	-0.1977	0	18.131	1	34	18.131	5.395	1.8689	0	0	0	
20	26.4	0	0	-1.2078	0	19.926	0	26	19.926	4.316	-3.7378	0	0	4	
21	-24.2	3.8106	0	2.908	0	22.369	0	5	22.369	4.316	3.7378	0	0	0	
22	-24.2	-3.8106	0	0.82522	0	20.2458	1	17	20.2458	1.079	5.6066	0	0	0	
23	24.2	11.4316	0	1.379	0	23.0411	0	7	23.0411	1.079	-5.6066	0	0	0	
24	24.2	-11.4316	0	-1.0582	0	23.0411	0	6	23.0411	-1.079	5.6066	0	0	0	
